Артикул;Код;Наименование;РодительскаяКатегория;Подкатегория;Цена;Остаток
;00-00002449;WORTEX AG 1210-1 (1000 Вт, диск 125х22 мм, бронированный ротор и статор);ДИОЛД;WORTEX;;-1
;00-00002450;Щеточная шлифмашина WORTEX WS 1014 S  (1400 Вт, 100 х 120 мм, 1000 -3000 об/мин, регул. об.);ДИОЛД;WORTEX;;
;00-00002451;Эксцентриковая шлифмашина WORTEX LX RS 1225 (240 Вт,125 мм,12000 об/мин,;ДИОЛД;WORTEX;;-1
;00-00002452;Эксцентриковая шлифмашина WORTEX LX RS 1230 (280 Вт, 125 мм, 6000 - 13000 об/мин);ДИОЛД;WORTEX;;-1
;00-00002453;Эксцентриковая шлифмашина WORTEX RS 1235 E (320 Вт, 125 мм, 6000 - 13000 кол/мин, регул. об.);ДИОЛД;WORTEX;;-2
;00-00002454;Эксцентриковая шлифмашина WORTEX RS 1250-1 AE (450 Вт, 150 мм, 10000 - 26000 кол/мин, регул. об.);ДИОЛД;WORTEX;;
;00-00002455;Щетка с нейлоновой щетиной 100х120 мм P80 WORTEX (диаметр 120 мм, ширина 100 мм);ДИОЛД;WORTEX;;
;00-00002456;Щетка нейлоновая 120х100 мм P80 WORTEX (диаметр 120 мм, ширина 100 мм);ДИОЛД;WORTEX;;
;00-00002457;Щетка лепестковая 100х120 мм P80 WORTEX (диаметр 120 мм, ширина 100 мм);ДИОЛД;WORTEX;;
;00-00002458;Щетка комбинированная лепестковая/нейлоновая 100х120 мм P120 WORTEX (диаметр 120 мм, ширина 100 мм);ДИОЛД;WORTEX;;
;00-00002474;Полир.машина WORTEX PM 1810 SE кейс.700 Вт, 2000-6400 об/мин,150 мм, регул.об.плав.пуск, эксцентрик;ДИОЛД;WORTEX;;
;00-00002512;WORTEX AG 1213-4 1200 Вт, диск 125х22 мм, пылезащита, шариковые подшипники, регулировка обор;ДИОЛД;WORTEX;;-1
;00-00002513;WORTEX AG 1213 в кор. 1250 Вт, диск 125х22 мм, регул. об.;ДИОЛД;WORTEX;;
;00-00002514;WORTEX AG 1211-1 E в кор. 1100 Вт, диск 125х22 мм, регул. об.;ДИОЛД;WORTEX;;-2
;00-00002515;Станок точильно-шлифовальный WORTEX BG 1535 L  250 Вт, 2950 об/мин, лента 685х50 мм, круг 150;ДИОЛД;WORTEX;;
;00-00002516;Сабельная пила WORTEX SR 1508-1 E в кор. + 2 пильных полотна (800 Вт, дерево до 150 мм, металл до 12;ДИОЛД;WORTEX;;-1
;00-00002517;Сабельная пила WORTEX SR 2313 E в кор. + 2 пильных полотна (1100 Вт, ход пилки 28 мм, дерево до 230;ДИОЛД;WORTEX;;
;00-00002518;Шлифлента 50х685 мм P80 бесконечная 3шт. для станка WORTEX;ДИОЛД;WORTEX;;
;00-00002519;Шлифлента 50х685 мм P120 бесконечная 3шт. для станка WORTEX;ДИОЛД;WORTEX;;-4
;00-00002520;Шлифлента 50х685 мм P40 бесконечная 3шт. для станка WORTEX;ДИОЛД;WORTEX;;
;00-00002696;Эксцентриковая шлифмашина WORTEX LX RS 1245-1 E в кор. 450 Вт, 125 мм, 3000-13000 об/мин;ДИОЛД;WORTEX;;
;00-00002717;Торцовочная пила WORTEX MS 2520-1 LMO в кор. 2000 Вт, 255 мм, глуб. до 90 мм, шир. до 340 мм, лазер;ДИОЛД;WORTEX;;-2
;00-00002718;Торцовочная пила WORTEX MS 2116 LMO в кор. 1700 Вт, 210 мм, глуб. до 65 мм, шир. до 340 мм, лазер;ДИОЛД;WORTEX;;
;00-00002723;Лобзик WORTEX JS 6507 LE  650 Вт, 500-3000 ход/мин, пропил до 65 мм (Быстрозажим;ДИОЛД;WORTEX;;
;00-00002724;Лобзик WORTEX JS 7008 LE  710 Вт, 800-3000 ход/мин, пропил до 70 мм. (Маятниковы;ДИОЛД;WORTEX;;
;00-00002725;Лобзик WORTEX JS 8008-2 LE  850 Вт, 0-3000 ход/мин, пропил до 80 мм.;ДИОЛД;WORTEX;;
;00-00002726;Лобзик WORTEX LX JS 5505 E  500 Вт, 0-3000 ход/мин, пропил до 55 мм.;ДИОЛД;WORTEX;;-2
;00-00002727;Рубанок  WORTEX PL 3008 в кор. 810 Вт, шир. до 82 мм, глуб. до 3.0 мм;ДИОЛД;WORTEX;;
;00-00002735;Торцовочная пила комбинированная WORTEX MS 2112 LMB в кор. 1200 Вт, 210 мм, глуб. 55, стол 30 мм (12;ДИОЛД;WORTEX;;
;00-00002750;WORTEX LX AG 2326-4 в кор. (2000 Вт, 6500 об/мин, поворот.рукоятка) (133354;ДИОЛД;WORTEX;;-2
;00-00002751;WORTEX AG 2326-2 в кор. 2100 Вт, 230 мм, 6500 об/мин. (Плавный пуск, поворо;ДИОЛД;WORTEX;;-1
;00-00002752;WORTEX AG 1512 E в кор. 1400 Вт, 150 мм, 0-11000 об/мин (рег. об., пылезащ;ДИОЛД;WORTEX;;-1
;00-00002753;WORTEX LX AG 1512-1 в кор. (1200 Вт, 10 000 об/мин) (1333548);ДИОЛД;WORTEX;;-2
;00-00002759;Циркулярная пила WORTEX CS 1915 в кор. 1500 Вт, 190 мм, до 67 мм (CS191500019);ДИОЛД;WORTEX;;-3
;00-00002760;Циркулярная пила WORTEX CS 2175 в кор. 1900 Вт, 210 мм, до 75 мм ((90°/45°) 75/53 мм);ДИОЛД;WORTEX;;
;00-00002761;Дрель ударная WORTEX DS 1307-1 в кор. (800 Вт);ДИОЛД;WORTEX;;
;00-00002762;Дрель ударная WORTEX DS 1308 в кор. 650 Вт, 1 скор, 25 мм в дер. (Быстрозажимной паторон) (DS1308000;ДИОЛД;WORTEX;;-1
;00-00002763;Дрель ударная WORTEX DS 1611 в кор. 950 Вт, 1 скор, 30 мм в дер. (Быстрозажимной патрон) (DS16110002;ДИОЛД;WORTEX;;-1
;00-00002764;Дрель ударная Wortex LX DS 1308-1 в кор. 800 Вт, 1 скор., 25 мм в дер. (0329087);ДИОЛД;WORTEX;;
;00-00002796;"Аккум. пила цепная WORTEX CEC 3536-1 шина 35 см (14""), 3/8"" LP, 1.3 мм  (БЕСЩЕТ.ДВИГ., БЕЗ";ДИОЛД;WORTEX;;
;00-00002803;Аккум. ножницы садовые WORTEX SG 1820 в кор. + насадка-кусторез ALL1 SOLO (Длина ножа (кусторез) 150;ДИОЛД;WORTEX;;-1
;00-00002814;"Аккум. мини-пила WORTEX LX CEC 2518-1 кейс. акб 1*2а/ч, з/у 18В, 4""";ДИОЛД;WORTEX;;-2
;00-00002816;Набор аккумулятор 2х4 А*ч и зарядное устройство 2х2 А WORTEX ALL1;ДИОЛД;WORTEX;;
;00-00002819;Пылесос WORTEX VC 3016 WS в кор. 1400 Вт, 30 л, провод 4.5 м, шланг 2 м (с доп. розеткой, 5,2 кг);ДИОЛД;WORTEX;;-1
;00-00002830;Аккум. дрель-шуруповерт WORTEX BD 2025-1 DLi в чем. БЕСЩЕТ, 18 В, 50 Н*м, 2х1,5 А*ч, БЗП 10 мм;ДИОЛД;WORTEX;;
;00-00002833;Аккум. дрель-шуруповерт WORTEX BD 2025-1 DLi в кор. ALL1 SOLO БЕСЩЕТ., 18 В, 50 Н*м;ДИОЛД;WORTEX;;-1
;00-00002864;Аккум. УШМ  WORTEX LX CAG 1812-1 E БЕСЩЕТ., 18 В, 125 мм, 8000 об/мин (рег. об.) БЕЗ АКБ И ЗУ;ДИОЛД;WORTEX;;
;00-00002865;Аккум. УШМ  WORTEX LX CAG 1812-1 E БЕСЩЕТ., 18 В, 125 мм, 8000 об/мин (рег. об.);ДИОЛД;WORTEX;;-2
;00-00002866;Аккум. секатор WORTEX CBS 2535-1 в чем. БЕСЩЕТ., 18 В, ветки до 35 мм, 1х2 А*ч зарядное кейс;ДИОЛД;WORTEX;;
;00-00002867;Аккум. секатор WORTEX CBS 2535-1  БЕСЩЕТ., 18 В, ветки до 35 мм (БЕЗ АКБ и ЗУ);ДИОЛД;WORTEX;;
;00-00002868;Аккум. кусторез WORTEX DB 5218  1*2а/ч  зу, 18В, 570 мм, шаг 16 мм;ДИОЛД;WORTEX;;
;00-00002883;Триммер аккум. WORTEX TB 3018-1 AT (БЕСЩЁТ.ДВИГ.,18В, БЕЗ АКБ И ЗУ, шир.скаш.300 мм,;ДИОЛД;WORTEX;;-2
;00-00002884;Триммер аккум. WORTEX TB 3018-1 AT с акб и зу  (БЕСЩЁТ.ДВИГ., 18В, 1 акк., 2 Ач.;ДИОЛД;WORTEX;;-4
;00-00002890;Циркулярная пила WORTEX CS 1916 L в кор. 1600 Вт, 190 мм, до 65 мм, лазер, литье;ДИОЛД;WORTEX;;-2
;00-00002897;Аккум. уничтожитель насекомых WORTEX CBZ 1825 18В, 10 Ват, напряжение сетки 2500 В, 33-65 Л;ДИОЛД;WORTEX;;
;00-00002898;Аккум. опрыскиватель WORTEX KS 1640 Li  18В, 16 л БЕЗ АКБ И ЗУ;ДИОЛД;WORTEX;;
;00-00002899;Аккум. опрыскиватель WORTEX KS 1020 Li 18В,  (5 л., 3.5 бар, 18 В, БЕЗ АКБ И ЗУ,;ДИОЛД;WORTEX;;
;00-00002902;Телескопическая штанга для секатора WORTEX CBS 2030 в кор. (Алюминий, пластик);ДИОЛД;WORTEX;;
;00-00002903;Виброшлифмашина WORTEX SS 1920 E  260 Вт, 90х187 мм, 6000-13000 кол/мин (крепление на липучке/;ДИОЛД;WORTEX;;
;00-00002908;Аккум. воздуходувка WORTEX BB 2018 D , макс.объём.570 м куб/ч (18 В, БЕЗ АКБ и ЗУ);ДИОЛД;WORTEX;;
;00-00002914;Аккумулятор WORTEX CBL 1840-1;ДИОЛД;WORTEX;;-2
;00-00002928;Аккумулятор WORTEX CBL 1840-1 18.0 В, 4.0 А*ч, Li-Ion ALL1 (18.0 В, 4.0 А*ч, индикатор заряда, обрез;ДИОЛД;WORTEX;;-3
;00-00002945;Триммер Wortex TE 4015 S в кор. 1400 Вт,шир.скаш.38 см леска;ДИОЛД;WORTEX;;-1
;00-00002955;Триммер Wortex TE 3610-1 S в кор. 1300 Вт, шир.скаш.37 см;ДИОЛД;WORTEX;;-1
;00-00002969;Аккумулятор 4Ah Wortex;ДИОЛД;WORTEX;;-2
;00-00002976;Триммер Wortex TE 4217-1 S в кор. 1500 Вт, шир.скаш.42 см леска, 25.5 см нож (плавный пуск);ДИОЛД;WORTEX;;-1
;00-00002986;Станок точильный WORTEX BG 1525-1 в кор. 250 Вт, 150х16х12,7 мм;ДИОЛД;WORTEX;;
;00-00003000;Газонокосилка аккумуляторная WORTEX CLM 3336 в кор. ALL1 SOLO БЕСЩЁТ.ДВИГ., 18В+18В, шир.330 мм (БЕЗ;ДИОЛД;WORTEX;;-1
;00-00003004;Триммер аккум. WORTEX TB 2818 ALL1 XLT 18В, шир.скаш.300 мм, авт.головка, леска 1.6 мм (2 Ач акб и з;ДИОЛД;WORTEX;;
;00-00003005;Триммер аккум. WORTEX TB 3018 ALL1 XLT SET 18В, 1 акк., 2 Ач, шир.скаш.300 мм, полуавт.головка, л (т;ДИОЛД;WORTEX;;
